iter,loss,proba_thr,run_time,tuned_hyperparams
1,0.3239944790178463,0.5,2.06,"{'model__colsample_bytree': 0.6, 'model__learning_rate': 0.18, 'model__max_depth': 1, 'model__min_child_weight': 10, 'model__n_estimators': 44, 'model__reg_alpha': 0.0001, 'model__reg_lambda': 0.0001, 'model__subsample': 0.6}"
2,0.3426641160374846,0.33,2.59,"{'model__colsample_bytree': 0.6, 'model__learning_rate': 0.22, 'model__max_depth': 10, 'model__min_child_weight': 1, 'model__n_estimators': 34, 'model__reg_alpha': 0.0001, 'model__reg_lambda': 0.001, 'model__subsample': 0.9}"
3,0.32927331283144057,0.42,2.55,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 70, 'model__min_child_weight': 7, 'model__n_estimators': 40, 'model__reg_alpha': 0.001, 'model__reg_lambda': 0.001, 'model__subsample': 0.5}"
4,0.3336077681187496,0.5,2.38,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__min_child_weight': 6, 'model__n_estimators': 24, 'model__reg_alpha': 0.001, 'model__reg_lambda': 0.0001, 'model__subsample': 0.9}"
5,0.32818364530111144,0.45,2.43,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.09, 'model__max_depth': 30, 'model__min_child_weight': 9, 'model__n_estimators': 24, 'model__reg_alpha': 0.01, 'model__reg_lambda': 0.01, 'model__subsample': 0.8}"
6,0.32660968109063615,0.45,2.39,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.09, 'model__max_depth': 40, 'model__min_child_weight': 9, 'model__n_estimators': 22, 'model__reg_alpha': 0.1, 'model__reg_lambda': 1.0, 'model__subsample': 0.9}"
7,0.3253989393902704,0.44,2.51,"{'model__colsample_bytree': 0.6, 'model__learning_rate': 0.09, 'model__max_depth': 30, 'model__min_child_weight': 8, 'model__n_estimators': 34, 'model__reg_alpha': 0.0001, 'model__reg_lambda': 0.001, 'model__subsample': 0.5}"
8,0.33937089861249004,0.46,1.84,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.09, 'model__max_depth': 1, 'model__min_child_weight': 3, 'model__n_estimators': 10, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.0001, 'model__subsample': 0.9}"
9,0.32651282175460683,0.49,2.07,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 40, 'model__min_child_weight': 9, 'model__n_estimators': 12, 'model__reg_alpha': 0.0001, 'model__reg_lambda': 0.01, 'model__subsample': 0.5}"
10,0.331162069884011,0.5,1.84,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.09, 'model__max_depth': 30, 'model__min_child_weight': 3, 'model__n_estimators': 2, 'model__reg_alpha': 0.01, 'model__reg_lambda': 0.001, 'model__subsample': 1.0}"
